n,DATA,REG_SISCRIM,FATO,LOCAL,ORGAO,HORARIO,ENDERECO,LON_UTM,LAT_UTM,LON,LAT,VESTIG_BIO,LAUDO_INC,LAUDO,PCF_1,PCF_2,OCORR_SIGEPOL,ATIV_SISCRIM
1,05/01/15,032/15,Constatação de danos,Agência,CEF,,"Rua Conselheiro Laurindo, 280, Curitiba",674427,7186388,-49.26555,-25.42924,nenhum,,532/15,Luiz,Christian,09/15,1/15
2,08/01/15,050/15,Preliminar - Maconha,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,033/15 e 121/15,Luiz,-,11/15,2/15
3,13/01/15,165/15,Furto,Viatura,Correios,,"Rua Princesa Isabel, 2500, Curitiba ",673118,7185090,-49.27839,-25.44111,nenhum,,076/15,Rodrigo,Ota,19/15,
4,15/01/15,576/15,Outros,Outro,Outro,,"Paranaguá/PR, as margens da av. Tufi Marrom, bairro Emboguaçú, em frente ao depósito da empresa BRASMAR",747870,7173491,-48.53333,-25.53517,nenhum,,1372/15,Luiz,Darwin,-,11/15
5,15/01/15,167/15,Preliminar - Cocaína,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,074 e 075/15,Rodrigo,,26/15,
6,17/01/15,195/15,Estelionato - Telefone,Agência,CEF,,"Avenida Prefeito Erasto Gaetner, 161, Curitiba ",676567,7189130,,,laudo INC emitido,1268/15,158/15,Akira,Ronaldo,31/15,4/15
7,17/01/15,196/15,Estelionato - Telefone,Agência,CEF,,"Rua Desembargador Westphalen, 203, Curitiba ",673783,7185810,,,laudo INC emitido,1272/15,159/15,Akira,Ronaldo,32/15,5/11
8,18/01/15,197/15,Explosão,Agência,CEF,,"Rua da Cidadania do bairro Santa Felicidade, TERMINal de bus",668021,7189608,,,laudo INC emitido,1452/15,162/15,Akira,Ronaldo,33/15,6/15
9,26/01/15,1122/15,Furto,Viatura,Correios,,"Rua Eng. Ariel Vilar Tacla, 500, Curitiba",667822,7178547,,,,508/16,,Ior,Benazzi,56/15,
10,27/01/15,357/15,Furto,Viatura,Correios,,"Rua Arthur Martins Franco, 1680, Curitiba",667331,7178949,,,nenhum,,272/15,Jorge,Christian,62/15,
11,28/01/15,359/15,Estelionato - Bloqueador,ATM,CEF,,"Travessa Oliveira Bello com a Rua Emiliano Perneta, junto à Praça Zacarias, em Curitiba/PR",673690,7185998,,,laudo INC emitido,1360/15,278/15,Akira,Ota,64/15,12/15
12,28/01/15,"360/15, 1253/15",Acidente de trânsito,Outro,PF,,"cruzamento entre a avenida Marechal Floriano Peixoto e a rua Engenheiro Rebouças, Curitiba (PR)",674409,7184737,,,nenhum,,1321/15,Akira,Ota,66/15,13/15
13,29/01/15,361/15,Arrombamento e furto,Agência,Correios,,"Rua Caçador, 526, São José dos Pinhais",691956,7174599,,,laudo INC emitido,1337/15,380/15,Akira,Ota,69/15,14/15
14,29/01/15,417/15,Estelionato - Bloqueador,ATM,CEF,,"Rua XV de novembro, 2831, Curitiba",676311,7186610,,,laudo INC emitido,1348/16,337/15,Luiz,Werner,70/15,24/15
15,29/01/15,418/15,Estelionato - Bloqueador,ATM,CEF,,"Av. Rep. Argentina, 1927 - Água Verde, Curitiba - PR",671874,7182613,,,laudo INC emitido,1744/15,393/15,Luiz,Werner,71/15,25/15
16,29/01/15,419/15,Furto,Viatura,Correios,,"Rua Francisco Raitane, 7187, Curitiba",671487,7177643,,,laudo INC emitido,090/16,1070/15,Luiz,Werner,72/15,26/15
17,30/01/15,420/15,Explosão,Agência,CEF,,"Rua Pedro Druszcz, 92, Araucária",660447,7168756,,,laudo INC emitido,025/16,1752/15,Luiz,Werner,78/15,28/15
18,30/01/15,349/15,Estelionato - Bloqueador,ATM,CEF,,"Avenida Batel, 1134, Curitiba",672517,7185103,,,laudo INC emitido,1338/15,199/15,Rodrigo,Darwin,79/15,49/15
19,01/02/15,1123/15,Estelionato - Bloqueador,ATM,CEF,,"Rua Desembargador Motta, 1499, Curitiba",673118,7185090,,,nenhum,,545/15,Sérvio,Darwin,82/15,27/15
20,02/02/15,468/15,Estelionato - Bloqueador,ATM,CEF,,"Avenida Batel, 1134, Curitiba",672517,7185103,,,laudo INC emitido,1456/15,273/15,Reinaldo,Sandro,86/15,17/15
21,03/02/15,788/15,Estelionato - Bloqueador,ATM,CEF,,"Avenida República Argentina, 4455, Curitiba",671540,7180222,,,laudo INC emitido,1784/15 e 1880/15,616/17 e 627/15,Rodrigo,Fernando,89/15,50/15
22,03/02/15,790/15,Estelionato - Bloqueador,ATM,CEF,,"Avenida Marechal Floriano Peixoto, 275 – Centro, Curitiba (PR)",673907,7186008,,,nenhum,,IT 055/15,Rodrigo,Fernando,91/15,51/15
23,03/02/15,-,Estelionato - Bloqueador,ATM,CEF,,SEM ENDEREÇO NO SISCRIM - AGUARDAR LAUDO,,,,,nenhum,,-,Rodrigo,Fernando,-,52/15
24,06/02/15,444/15,Estelionato - Bloqueador,ATM,CEF,,"Rua Winston Churchil, 1190, Curitiba",671245,7177859,,,nenhum,,790/15,Maia,Schamne,96/15,40/15
25,06/02/15,445/15,Estelionato - Bloqueador,ATM,CEF,,"República Argentina, 4455, Curitiba ",671540,7180222,,,nenhum,,793/15,Maia,Schamne,97/15,41/15
26,07/02/15,443/15,Estelionato - Bloqueador,ATM,CEF,,"Rua Desmbargador Motta esquina com a Visconde de Guarapuava, Curitiba (PR)",673128,7185148,,,nenhum,,788/15,Maia,Schamne,100/15,42/15
27,12/02/15,520/15,Estelionato - Chupa-Cabra,ATM,CEF,,"Av Floriano Peixoto, esquina com a rua Alcino Guanabara, Hauer",676153,7180625,,,nenhum,,555/15,Sérvio,Christian,115/15,73/15
28,18/02/15,724/15,Arrombamento e furto,Agência,Residência,,"Rua Darcy Setim, 377, São José dos Pinhais",680841,7175903,,,laudo INC emitido,997/15,436/15,Ivan,Christian,-,
29,19/02/15,562/15,Roubo,Agência,Correios,,"Avenida Nossa Senhora Aparecida, 327, Curitiba",670753,7184168,,,nenhum,,822/15,Marlon,Brunori,121/15,31/15
30,21/02/15,"579/15, 581/15",Roubo,Agência,CEF,,"Avenida Prefeito Erasto Gaertner, 161, Curitiba ",676567,7189130,,,enviado INC,2256/16,729/15,Rodrigo,Fabiano,124/15,53/15
31,22/02/15,580/15,Explosão,Agência,CEF,,"UTFPR, Av. Monteiro Lobato, s/n, km 04, Jardim Carvalho, Ponta Grossa",587647,7229098,,,laudo INC emitido,146/16,636/15,Rodrigo,Fabiano,125/15,54/15
32,23/02/15,596/15,Preliminar - Cocaína,Outro,PF,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,339/15,Akira,-,129/15,39/15
33,03/03/15,721/15,Furto,Agência,CEF,,"Avenida Kennedy, 143, Curitiba ",674620,7183957,,,laudo INC emitido,1869/15,610/15,Rodrigo,Brunori,150/15,55/15
34,03/03/15,734/15,Estelionato - Chupa-Cabra,Agência,CEF,,"Avenida Paraná, 3654, Curitiba ",677762,7191179,,,laudo INC emitido,1794/15,1611/15,Marlon,Benazzi,154/15,46/15
35,06/03/15,783/15,Furto,Agência,Correios,,"Rua XV de Novembro, 1674, São  José  dos  Pinhais",680631,7174306,,,nenhum,,499/15,Reinaldo,Benazzi,160/15,58/15
36,06/03/15,781/15,Furto,Agência,CEF,,"Rua João Dembinski, 3265, Curitiba ",667156,7181394,,,nenhum,,643/15,Reinaldo,Benazzi,163/15,59/15
37,11/03/15,893/15,Morte violenta,Outro,PRF,,"Km 139 da BR-277, posto são luiz do purunã, balsa nova/pr",628202,7182376,,,nenhum,,"795, 796, 797, 775, 794 e 799/15",Franus,Fabiano,170/15,"60/15, 80/15"
38,13/03/15,"969/15, 965/15",Roubo,Agência,Correios,,"Avenida Brasil, 460, Balsa Nova",637675,7169847,,,laudo INC emitido,134/16,420/16,Marlon,Darwin,173/15,61/15
39,14/03/15,"968/15, 970/15",Outros,ATM,CEF,,"Avenida Marechal Floriano, 5760, Curitiba",676006,7180907,,,nenhum,,733/16,Marlon,Darwin,178/15,62/15
40,17/03/15,1008/15,Outros,Outro,UTFPR,,"Avenida Deputado Heitor Alencar Furtado, 5000, Curitiba",665563,7184930,,,nenhum,,942/15,Franus,Klock,186/15,"71/15, 70/15"
41,18/03/15,1047/15,Roubo,Agência,Correios,,"Rua Manuel Ribas, 812, Mercês, Curitiba ",672294,7187243,,,nenhum,,1761/15,Luiz,Akira,187/15,68/15
42,18/03/15,"1046/15, 1023/15",Roubo,Agência,Correios,,"Rua Dorval Ceccon, 664, Alto Maracanã, Curitiba",682693,7193850,,,enviado INC,356/16,582/15,Reinaldo,Klock,190/15,72/15
43,18/03/15,1038/15,Furto,Viatura,Correios,,"Rua Desembargador Motta, 1670, Curitiba",673078,7185328,,,nenhum,,857/15,Maia,Schamne,191/15,86/15
44,22/03/15,"1089, 1088/15",Furto,Agência,Correios,,"Rua Mateus Leme, 1310, Curitiba",673874,7187888,,,,,2422/16,Ior,Ronaldo,204/15,
45,26/03/15,"1166, 1167/15",Furto,Viatura,PF,,"Rua Miguel Jorge Nasser, 17, Tingui, Curitiba",678316,7190916,,,laudo INC emitido,735/15,1045/15,Franus,,216/15,78/15
46,28/03/15,1325/15,Estelionato - Telefone,Agência,CEF,,"Rua Delegado Leopoldo Balzack, 1588, Curitiba",678887,7185377,,,laudo INC emitido,2055/15,872/15,Maia,Klock,221/15,87/15
